"Time [s]","LVDT # 2 (195619) (AVG) []","LVDT # 2 (195619) (RMS) []","LVDT # 2 (195619) (MIN) []","LVDT # 2 (195619) (MAX) []","LVDT # 2 (195619) []","LVDT #1 (195620) (AVG) []","LVDT #1 (195620) (RMS) []","LVDT #1 (195620) (MIN) []","LVDT #1 (195620) (MAX) []","LVDT #1 (195620) []","LVDT #3 (196487) (AVG) []","LVDT #3 (196487) (RMS) []","LVDT #3 (196487) (MIN) []","LVDT #3 (196487) (MAX) []","LVDT #3 (196487) []","LVDT #4 (196488) (AVG) []","LVDT #4 (196488) (RMS) []","LVDT #4 (196488) (MIN) []","LVDT #4 (196488) (MAX) []","LVDT #4 (196488) []","LVDT #5 (194513) (AVG) []","LVDT #5 (194513) (RMS) []","LVDT #5 (194513) (MIN) []","LVDT #5 (194513) (MAX) []","LVDT #5 (194513) []","LVDT #7 (198068) (AVG) []","LVDT #7 (198068) (RMS) []","LVDT #7 (198068) (MIN) []","LVDT #7 (198068) (MAX) []","LVDT #7 (198068) []","LVDT #8 (198067) (AVG) []","LVDT #8 (198067) (RMS) []","LVDT #8 (198067) (MIN) []","LVDT #8 (198067) (MAX) []","LVDT #8 (198067) []","channel 1 (AVG) [mA]","channel 1 (RMS) [mA]","channel 1 (MIN) [mA]","channel 1 (MAX) [mA]","channel 1 [mA]","channel 2 (AVG) [mA]","channel 2 (RMS) [mA]","channel 2 (MIN) [mA]","channel 2 (MAX) [mA]","channel 2 [mA]","channel 3 (AVG) [mA]","channel 3 (RMS) [mA]","channel 3 (MIN) [mA]","channel 3 (MAX) [mA]","channel 3 [mA]","channel 4 (AVG) [mA]","channel 4 (RMS) [mA]","channel 4 (MIN) [mA]","channel 4 (MAX) [mA]","channel 4 [mA]","channel 5 (AVG) [mA]","channel 5 (RMS) [mA]","channel 5 (MIN) [mA]","channel 5 (MAX) [mA]","channel 5 [mA]","channel 6 (AVG) [mA]","channel 6 (RMS) [mA]","channel 6 (MIN) [mA]","channel 6 (MAX) [mA]","channel 6 [mA]","channel 7 (AVG) [mA]","channel 7 (RMS) [mA]","channel 7 (MIN) [mA]","channel 7 (MAX) [mA]","channel 7 [mA]","channel 8 (AVG) [mA]","channel 8 (RMS) [mA]","channel 8 (MIN) [mA]","channel 8 (MAX) [mA]","channel 8 [mA]"
1.172,,,,,0.001091543602,,,,,0.002193721257,,,,,0.000442609909,,,,,0.001287705939,,,,,0.002484647032,,,,,-0.001107454887,,,,,-0.002194815336,,,,,0.017799854279,,,,,0.008849143982,,,,,0.001800537109,,,,,0.005249977112,,,,,0.006698608398,,,,,0.000000000000,,,,,-0.002249240875,,,,,-0.004448890686
1.274,,,,,0.001523267389,,,,,0.001984157379,,,,,0.000418228855,,,,,-0.002097054267,,,,,0.002410362312,,,,,-0.000270700760,,,,,-0.002688825219,,,,,0.016099452972,,,,,0.012349128723,,,,,0.001701354980,,,,,-0.008549690247,,,,,0.006498336792,,,,,0.000000000000,,,,,-0.000549793243,,,,,-0.005450248718
1.376,,,,,0.002078508881,,,,,0.001540582463,,,,,0.000418228855,,,,,-0.002219626095,,,,,0.001780003398,,,,,0.000369308149,,,,,-0.003230824633,,,,,0.012500286102,,,,,0.016850471497,,,,,0.001701354980,,,,,-0.009049415588,,,,,0.004798889160,,,,,0.000000000000,,,,,0.000750064850,,,,,-0.006548881531
1.476,,,,,0.000228096028,,,,,0.001799393264,,,,,0.000466990963,,,,,0.000870868158,,,,,0.000296431408,,,,,-0.000762798585,,,,,-0.003428428586,,,,,0.014600276947,,,,,0.001849174500,,,,,0.001899719238,,,,,0.003550529480,,,,,0.000799179077,,,,,0.000000000000,,,,,-0.001549243927,,,,,-0.006949424744
1.577,,,,,0.001486329714,,,,,0.002119792104,,,,,0.000466990963,,,,,0.001018001134,,,,,-0.000519285570,,,,,-0.001304669664,,,,,-0.002244686810,,,,,0.017199993134,,,,,0.012049674988,,,,,0.001899719238,,,,,0.004150390625,,,,,-0.001399993896,,,,,0.000000000000,,,,,-0.002649784088,,,,,-0.004549980164
1.598,0.001061993462,0.001238001052,0.000141751271,0.002078508881,,0.001931231628,0.001943695371,0.001540582463,0.002193721257,,0.000476977818,0.000481791250,0.000418228855,0.000663914863,,-0.000296698676,0.001480389770,-0.002219626095,0.001361389385,,0.000804538897,0.001453584002,-0.001001782516,0.002484647032,,-0.000423213521,0.000689919700,-0.001304669664,0.000369308149,,-0.002639047842,0.002753513836,-0.003428428586,-0.000813469607,,0.015670012683,0.015771145001,0.012500286102,0.017799854279,,0.008609580807,0.010036474094,0.001149177551,0.016850471497,,0.001940345741,0.001959926914,0.001701354980,0.002700805664,,-0.001209640526,0.006035549100,-0.009049415588,0.005550384521,,0.002169036772,0.003918862436,-0.002700805664,0.006698608398,,0.000000000000,0.000000000000,0.000000000000,0.000000000000,,-0.000859546650,0.001401226968,-0.002649784088,0.000750064850,,-0.005349350162,0.005581372418,-0.006949424744,-0.001648902893,
1.678,,,,,0.001116247143,,,,,0.002156697913,,,,,0.000442609909,,,,,-0.001017767219,,,,,-0.001224636678,,,,,-0.001156758581,,,,,-0.001998152354,,,,,0.017499446869,,,,,0.009049415588,,,,,0.001800537109,,,,,-0.004149436951,,,,,-0.003301620483,,,,,0.000000000000,,,,,-0.002349376678,,,,,-0.004050254822
1.779,,,,,-0.011810762926,,,,,-0.000936690592,,,,,-0.020231117541,,,,,-0.037711421619,,,,,-0.001632141430,,,,,-0.000418142284,,,,,-0.002638953745,,,,,-0.007600307465,,,,,-0.095749855042,,,,,-0.082300186157,,,,,-0.153749465942,,,,,-0.004400253296,,,,,0.000000000000,,,,,-0.000849246979,,,,,-0.005349159241
1.880,,,,,-0.029474500518,,,,,-0.004966710923,,,,,-0.045673216573,,,,,-0.083529425802,,,,,-0.106231395144,,,,,-0.153446479245,,,,,-0.216304344324,,,,,-0.040299892426,,,,,-0.238949775696,,,,,-0.185798645020,,,,,-0.340549468994,,,,,-0.286399841309,,,,,0.000000000000,,,,,-0.311649799347,,,,,-0.438448905945
1.981,,,,,-0.049518953641,,,,,-0.010722254132,,,,,-0.077802288614,,,,,-0.142960388169,,,,,-0.177485299040,,,,,-0.259157825960,,,,,-0.355081600571,,,,,-0.087000370026,,,,,-0.401450157166,,,,,-0.316499710083,,,,,-0.582849502563,,,,,-0.478500366211,,,,,0.000000000000,,,,,-0.526349544525,,,,,-0.719750404358
