"Time [s]","LVDT # 2 (195619) []","LVDT #1 (195620) []","LVDT #3 (196487) []","LVDT #4 (196488) []","LVDT #5 (194513) []","LVDT #6 (194512) []","LVDT #7 (198068) []","LVDT #8 (198067) []","channel 1 [mA]","channel 2 [mA]","channel 3 [mA]","channel 4 [mA]","channel 5 [mA]","channel 6 [mA]","channel 7 [mA]","channel 8 [mA]"
2.125,-0.067176574165,-0.031809163910,-0.113298993781,-0.171020214014,-0.180341015937,-0.294777434203,-0.381413379483,-0.535076689003,-0.258099555969,-0.544600486755,-0.460900306702,-0.697249412537,-0.486199378967,-0.801499843597,-0.774650573730,-1.084600448608
2.226,-0.067361497814,-0.031907892827,-0.113126919802,-0.171805235110,-0.180341015937,-0.294041922970,-0.381609655143,-0.535126089991,-0.258900642395,-0.546099662781,-0.460200309753,-0.700449943542,-0.486199378967,-0.799499988556,-0.775049209595,-1.084700584412
2.327,-0.067324560139,-0.031796940330,-0.113323609269,-0.170579049001,-0.179821730368,-0.296358941188,-0.381560821007,-0.535273822470,-0.258000373840,-0.545800209045,-0.461000442505,-0.695450782776,-0.484799385071,-0.805799961090,-0.774950027466,-1.085000038147
2.429,-0.067534187329,-0.031821622559,-0.113200531831,-0.170824192656,-0.180526374002,-0.297866791827,-0.381018949928,-0.535471426423,-0.258200645447,-0.547499656677,-0.460499763489,-0.696450233459,-0.486699104309,-0.809899806976,-0.773849487305,-1.085400581360
2.529,-0.067065525867,-0.031895434178,-0.113274378294,-0.170554253936,-0.180452089281,-0.294887918723,-0.381314772095,-0.535175490979,-0.258799552917,-0.543700218201,-0.460800170898,-0.695349693298,-0.486498832703,-0.801800251007,-0.774450302124,-1.084800720215
2.630,-0.067620532087,-0.031784481681,-0.113102304314,-0.169744905608,-0.179932803711,-0.293232755391,-0.381314772095,-0.535866163844,-0.257899284363,-0.548199653625,-0.460100173950,-0.692049980164,-0.485098838806,-0.797299861908,-0.774450302124,-1.086200714111
2.731,-0.067016118785,-0.031846069720,-0.113347990323,-0.170946764484,-0.180637447346,-0.293710820155,-0.381609655143,-0.535175490979,-0.258399009705,-0.543299674988,-0.461099624634,-0.696949958801,-0.486998558044,-0.798599720001,-0.775049209595,-1.084800720215
2.832,-0.067040822326,-0.031784481681,-0.113225147319,-0.169254618297,-0.179784941744,-0.296101494719,-0.381609655143,-0.535372624447,-0.257899284363,-0.543499946594,-0.460599899292,-0.690051078796,-0.484700202942,-0.805099964142,-0.775049209595,-1.085200309753
2.933,-0.067682173303,-0.031722893643,-0.113298993781,-0.169892272500,-0.179747445647,-0.297646173531,-0.381068723182,-0.535372624447,-0.257399559021,-0.548699378967,-0.460900306702,-0.692650794983,-0.484599113464,-0.809299945831,-0.773950576782,-1.085200309753
3.034,-0.067114932949,-0.031747575872,-0.113102304314,-0.170358232578,-0.180749228163,-0.295182193365,-0.381216164706,-0.535422025435,-0.257599830627,-0.544100761414,-0.460100173950,-0.694550514221,-0.487299919128,-0.802600383759,-0.774250030518,-1.085300445557
3.136,-0.067299856598,-0.031821622559,-0.113372605810,-0.168788190387,-0.179562087583,-0.293306411738,-0.381216164706,-0.535767361867,-0.258200645447,-0.545599937439,-0.461199760437,-0.688149452209,-0.484099388123,-0.797500133514,-0.774250030518,-1.086000442505
3.236,-0.067447842572,-0.031735352292,-0.113249762806,-0.169671456078,-0.179636372303,-0.295917704597,-0.381659428396,-0.535175490979,-0.257500648499,-0.546799659729,-0.460700035095,-0.691750526428,-0.484299659729,-0.804600238800,-0.775150299072,-1.084800720215
3.337,-0.067447842572,-0.031759799452,-0.113274378294,-0.168837312685,-0.180711732066,-0.297903620000,-0.380970115793,-0.535520827411,-0.257699012756,-0.546799659729,-0.460800170898,-0.688349723816,-0.487198829651,-0.809999942780,-0.773750305176,-1.085500717163
3.438,-0.067312326004,-0.031661305605,-0.113102304314,-0.168175331249,-0.179487802862,-0.297940448173,-0.381117557317,-0.535224421482,-0.256899833679,-0.545701026917,-0.460100173950,-0.685650825500,-0.483899116516,-0.810100078583,-0.774049758911,-1.084899902344
3.539,-0.067164104759,-0.031599717567,-0.113126919802,-0.169818355138,-0.180897090131,-0.295512945435,-0.381264998841,-0.535224421482,-0.256400108337,-0.544499397278,-0.460200309753,-0.692349433899,-0.487698554993,-0.803499698639,-0.774349212646,-1.084899902344
3.640,-0.067669939168,-0.031698211414,-0.113225147319,-0.168641291327,-0.180971374851,-0.293122621616,-0.381758035785,-0.535126089991,-0.257199287415,-0.548600196838,-0.460599899292,-0.687550544739,-0.487898826599,-0.797000408173,-0.775350570679,-1.084700584412
3.741,-0.067028588191,-0.031599717567,-0.113298993781,-0.169328067827,-0.179339233421,-0.295512945435,-0.381806869920,-0.535323223458,-0.256400108337,-0.543400764465,-0.460900306702,-0.690350532532,-0.483498573303,-0.803499698639,-0.775449752808,-1.085100173950
3.843,-0.067016118785,-0.031624399796,-0.113077688827,-0.170480804406,-0.180971374851,-0.297646173531,-0.381068723182,-0.535422025435,-0.256600379944,-0.543299674988,-0.460000038147,-0.695050239563,-0.487898826599,-0.809299945831,-0.773950576782,-1.085300445557
3.943,-0.067608297952,-0.031673529185,-0.113151535289,-0.169794027905,-0.180971374851,-0.295733914475,-0.381314772095,-0.535175490979,-0.256999015808,-0.548100471497,-0.460300445557,-0.692250251770,-0.487898826599,-0.804100513458,-0.774450302124,-1.084800720215
4.044,-0.067040822326,-0.031562811758,-0.113249762806,-0.171461846859,-0.179339233421,-0.293600686380,-0.381068723182,-0.535619158902,-0.256100654602,-0.543499946594,-0.460700035095,-0.699049949646,-0.483498573303,-0.798300266266,-0.773950576782,-1.085700035095
4.145,-0.067534187329,-0.031611941147,-0.113298993781,-0.171167580907,-0.181083155669,-0.293012137096,-0.381659428396,-0.535126089991,-0.256499290466,-0.547499656677,-0.460900306702,-0.697850227356,-0.488200187683,-0.796700000763,-0.775150299072,-1.084700584412
17.073,-0.444554100352,-0.205385764303,-0.734488638219,-1.107714121793,-1.430118473064,-1.894777598912,-2.392146694196,-3.364973251727,-1.666500091553,-3.604000091553,-2.987899780273,-4.516150474548,-3.855599403381,-5.151900291443,-4.858449935913,-6.820800781250
17.174,-0.444739141637,-0.205459693455,-0.733579271780,-1.106757406572,-1.428041330785,-1.894851079887,-2.388355474881,-3.360631610586,-1.667099952698,-3.605500221252,-2.984200477600,-4.512249946594,-3.849999427795,-5.152100086212,-4.850749969482,-6.812000274658
17.276,-0.444258128404,-0.205472034570,-0.732890975862,-1.106364896024,-1.426928474924,-1.894740770739,-2.385499617080,-3.356832909831,-1.667200088501,-3.601600646973,-2.981400489807,-4.510649681091,-3.846999168396,-5.151800155640,-4.844949722290,-6.804300308228
17.376,-0.443579604480,-0.205459693455,-0.732497596928,-1.104672515922,-1.426965971021,-1.891945687757,-2.385105657084,-3.356487573399,-1.667099952698,-3.596099853516,-2.979800224304,-4.503749847412,-3.847100257874,-5.144200325012,-4.844149589539,-6.803600311279
17.477,-0.444258128404,-0.205619892875,-0.732571208958,-1.106414018322,-1.426409189354,-1.891651413115,-2.387616858583,-3.360286274154,-1.668399810791,-3.601600646973,-2.980099678040,-4.510849952698,-3.845599174500,-5.143400192261,-4.849249839783,-6.811300277710
17.578,-0.443814052847,-0.205730845372,-0.733308735850,-1.106634834744,-1.430378115849,-1.894152396827,-2.391162028986,-3.365120984206,-1.669300079346,-3.598000526428,-2.983099937439,-4.511750221252,-3.856299400330,-5.150200366974,-4.856450080872,-6.821100234985
17.679,-0.444714438096,-0.206063585326,-0.734931248128,-1.108891419520,-1.430489189193,-1.899190841680,-2.394460680918,-3.369807961779,-1.671999931335,-3.605299949646,-2.989700317383,-4.520950317383,-3.856598854065,-5.163899898529,-4.863149642944,-6.830600738525
17.780,-0.444973472368,-0.206199102517,-0.734857401665,-1.107640438346,-1.430971686140,-1.901544688072,-2.393574623097,-3.369117288914,-1.673099517822,-3.607399940491,-2.989399909973,-4.515850067139,-3.857899665833,-5.170300006866,-4.861350059509,-6.829200744629
17.881,-0.444825486395,-0.206383984166,-0.734783789636,-1.105604669993,-1.430786328075,-1.897425544573,-2.391211332681,-3.365219786182,-1.674599647522,-3.606200218201,-2.989100456238,-4.507550239563,-3.857399940491,-5.159100055695,-4.856550216675,-6.821300506592
17.984,-0.444406114378,-0.206556524700,-0.733726730272,-1.105702680672,-1.428300973570,-1.893343229248,-2.388946180095,-3.360976947018,-1.675999641418,-3.602800369263,-2.984800338745,-4.507949829102,-3.850699424744,-5.148000240326,-4.851949691772,-6.812700271606
18.084,-0.443838638752,-0.206692159426,-0.732817129400,-1.103176391093,-1.426854190204,-1.892092649706,-2.386238233378,-3.358313057537,-1.677100181580,-3.598199844360,-2.981100082397,-4.497650146484,-3.846798896790,-5.144599914551,-4.846449851990,-6.807300567627
18.184,-0.444332121391,-0.206729065235,-0.732718667450,-1.104402811117,-1.426520262698,-1.894740770739,-2.386730800762,-3.359003730401,-1.677399635315,-3.602200508118,-2.980699539185,-4.502650260925,-3.845898628235,-5.151800155640,-4.847450256348,-6.808700561523
18.286,-0.443764645765,-0.206778429693,-0.733063049842,-1.105800925267,-1.428745974419,-1.897204926278,-2.387961514885,-3.361914154339,-1.677800178528,-3.597599983215,-2.982100486755,-4.508350372314,-3.851899147034,-5.158500194550,-4.849949836731,-6.814599990845
18.387,-0.444406114378,-0.206716724120,-0.734636096711,-1.108253765317,-1.429190975268,-1.897793300190,-2.391555988982,-3.365959860035,-1.677299499512,-3.602800369263,-2.988499641418,-4.518350601196,-3.853098869324,-5.160099983215,-4.857250213623,-6.822800636292
18.488,-0.445306499628,-0.206716724120,-0.735054091132,-1.110166727926,-1.431379898366,-1.897278407252,-2.395347208298,-3.370745169099,-1.677299499512,-3.610099792480,-2.990200042725,-4.526149749756,-3.859000205994,-5.158699989319,-4.864950180054,-6.832500457764
18.588,-0.444665148650,-0.206655136082,-0.734832786177,-1.108842297223,-1.432455258129,-1.898234712152,-2.394362073529,-3.368179611108,-1.676799774170,-3.604900360107,-2.989299774170,-4.520750045776,-3.861899375916,-5.161300182343,-4.862949371338,-6.827300071716
18.691,-0.444628093339,-0.206457913319,-0.734685327686,-1.107934704299,-1.429562398871,-1.898823086064,-2.391506685288,-3.364923850738,-1.675199508667,-3.604599952698,-2.988699913025,-4.517049789429,-3.854100227356,-5.162899971008,-4.857150077820,-6.820700645447
18.791,-0.444714438096,-0.206371643051,-0.733185892846,-1.106168874666,-1.427113832989,-1.894299358776,-2.386730800762,-3.361174550972,-1.674499511719,-3.605299949646,-2.982600212097,-4.509850502014,-3.847498893738,-5.150599956512,-4.847450256348,-6.813100814819
18.891,-0.444196369552,-0.206075926441,-0.733308735850,-1.105457537017,-1.427373475774,-1.891467447621,-2.386484282290,-3.359053131390,-1.672100067139,-3.601099967957,-2.983099937439,-4.506950378418,-3.848198890686,-5.142899990082,-4.846949577332,-6.808800697327
18.993,-0.444443052054,-0.206038903097,-0.733038434354,-1.107027345292,-1.427855972720,-1.891099692005,-2.388060122273,-3.360286274154,-1.671799659729,-3.603099822998,-2.982000350952,-4.513350486755,-3.849499702454,-5.141900062561,-4.850150108337,-6.811300277710
19.094,-0.444369059067,-0.205743186486,-0.734046262743,-1.107174478268,-1.428226688849,-1.894740770739,-2.390078756388,-3.363048965612,-1.669400215149,-3.602499961853,-2.986100196838,-4.513950347900,-3.850499153137,-5.151800155640,-4.854249954224,-6.816900253296
19.195,-0.444862541706,-0.205607551761,-0.734660712198,-1.109112235942,-1.431082759484,-1.902500992972,-2.394362073529,-3.369906293270,-1.668299674988,-3.606500625610,-2.988599777222,-4.521850585938,-3.858199119568,-5.172900199890,-4.862949371338,-6.830800056458
19.295,-0.444788431083,-0.205632233990,-0.735004860157,-1.108989430199,-1.433048828419,-1.900404593049,-2.394608592001,-3.370054496234,-1.668499946594,-3.605899810791,-2.989999771118,-4.521349906921,-3.863499641418,-5.167200088501,-4.863450050354,-6.831100463867
19.398,-0.444665148650,-0.205582987066,-0.734931248128,-1.106904539549,-1.430526685290,-1.896800342488,-2.393229966795,-3.368179611108,-1.668100357056,-3.604900360107,-2.989700317383,-4.512849807739,-3.856699943542,-5.157400131226,-4.860650062561,-6.827300071716
19.498,-0.445281913723,-0.205521281494,-0.734242952210,-1.106217763048,-1.428078119408,-1.894961389034,-2.389438747479,-3.364775647774,-1.667599678040,-3.609900474548,-2.986900329590,-4.510049819946,-3.850098609924,-5.152400016785,-4.852950096130,-6.820400238037
19.599,-0.444319769621,-0.205681480914,-0.733530040805,-1.104231116992,-1.428597404978,-1.896175140403,-2.387616858583,-3.359891536733,-1.668899536133,-3.602100372314,-2.984000205994,-4.501950263977,-3.851498603821,-5.155700206757,-4.849249839783,-6.810500144958
19.700,-0.444985824139,-0.205669257333,-0.733480809830,-1.104672515922,-1.427447760494,-1.896800342488,-2.387518251195,-3.359743804254,-1.668800354004,-3.607500076294,-2.983799934387,-4.503749847412,-3.848399162292,-5.157400131226,-4.849049568176,-6.810200691223
19.801,-0.444948886463,-0.205915727021,-0.733431578855,-1.105530986547,-1.428264184946,-1.895255663676,-2.388060122273,-3.361865223836,-1.670800209045,-3.607200622559,-2.983599662781,-4.507249832153,-3.850600242615,-5.153200149536,-4.850150108337,-6.814500808716
19.902,-0.444282714309,-0.206174537822,-0.734415026189,-1.106732845423,-1.430452400570,-1.895549938318,-2.393426712014,-3.367488938244,-1.672900199890,-3.601799964905,-2.987600326538,-4.512149810791,-3.856499671936,-5.154000282288,-4.861049652100,-6.825900077820
20.003,-0.445170865424,-0.206211443631,-0.734808170690,-1.109112235942,-1.432566331473,-1.898896742411,-2.394756033525,-3.369906293270,-1.673199653625,-3.609000205994,-2.989199638367,-4.521850585938,-3.862198829651,-5.163100242615,-4.863749504089,-6.830800056458
20.105,-0.444961120598,-0.206445689738,-0.734857401665,-1.108842297223,-1.431231328925,-1.901360897949,-2.394657895695,-3.369363823370,-1.675100326538,-3.607299804688,-2.989399909973,-4.520750045776,-3.858599662781,-5.169800281525,-4.863550186157,-6.829700469971
20.205,-0.444874775841,-0.206741406349,-0.734562484681,-1.109136563175,-1.429339544709,-1.897830128363,-2.390718765296,-3.367242403788,-1.677499771118,-3.606599807739,-2.988200187683,-4.521949768066,-3.853499412537,-5.160200119019,-4.855549812317,-6.825400352478
20.306,-0.444813134624,-0.206729065235,-0.734144490260,-1.107763010174,-1.429858830279,-1.893858122186,-2.389094091178,-3.361322283451,-1.677399635315,-3.606100082397,-2.986499786377,-4.516349792480,-3.854899406433,-5.149400234222,-4.852250099182,-6.813400268555
20.407,-0.444800782854,-0.206901605769,-0.733775726813,-1.106119752369,-1.427336687150,-1.891982340558,-2.388207563798,-3.360039739698,-1.678799629211,-3.605999946594,-2.984999656677,-4.509650230408,-3.848099708557,-5.144299983978,-4.850449562073,-6.810800552368
20.508,-0.444924182922,-0.206975534922,-0.733849573276,-1.107763010174,-1.428783470516,-1.893416710223,-2.388454082269,-3.360878145042,-1.679399490356,-3.607000350952,-2.985300064087,-4.516349792480,-3.852000236511,-5.148200035095,-4.850950241089,-6.812500000000
20.609,-0.444455403824,-0.206852358846,-0.733775726813,-1.107051672525,-1.429822041656,-1.899117360706,-2.390620157908,-3.364973251727,-1.678400039673,-3.603199958801,-2.984999656677,-4.513449668884,-3.854800224304,-5.163700103760,-4.855349540710,-6.820800781250
20.709,-0.445146161883,-0.206913946884,-0.734488638219,-1.108964869050,-1.431342402269,-1.900073665606,-2.393082055712,-3.368377215061,-1.678899765015,-3.608799934387,-2.987899780273,-4.521249771118,-3.858899116516,-5.166300296783,-4.860349655151,-6.827700614929
20.811,-0.445676582198,-0.206975534922,-0.735422854578,-1.110436666646,-1.432158826720,-1.899337979001,-2.395593257211,-3.370942302566,-1.679399490356,-3.613100051880,-2.991700172424,-4.527250289917,-3.861100196838,-5.164299964905,-4.865449905396,-6.832900047302
20.911,-0.445343554939,-0.207086487418,-0.735840614566,-1.108744286543,-1.432084542000,-1.898602467769,-2.395839306124,-3.371041104543,-1.680299758911,-3.610400199890,-2.993399620056,-4.520350456238,-3.860899925232,-5.162300109863,-4.865949630737,-6.833100318909
21.012,-0.446059016539,-0.207135851876,-0.735840614566,-1.108866858371,-1.432455258129,-1.899485116322,-2.393328104625,-3.366551730923,-1.680700302124,-3.616200447083,-2.993399620056,-4.520850181580,-3.861899375916,-5.164700031281,-4.860849380493,-6.824000358582
21.113,-0.445405196155,-0.206877041075,-0.735324392628,-1.106953661846,-1.429822041656,-1.900000009260,-2.390964814209,-3.364627915294,-1.678600311279,-3.610899925232,-2.991299629211,-4.513050079346,-3.854800224304,-5.166100025177,-4.856049537659,-6.820100784302
21.214,-0.444196369552,-0.205977315059,-0.733579271780,-1.106144313518,-1.428820259140,-1.896175140403,-2.387420113365,-3.360138541675,-1.671299934387,-3.601099967957,-2.984200477600,-4.509750366211,-3.852099418640,-5.155700206757,-4.848850250244,-6.811000823975
