Time [s],LVDT #1 (195620) [],LVDT # 2 (195619) [],LVDT #7 (198068) [],LVDT #3 (196487) [],LVDT #4 (196488) [],LVDT #5 (194513) [],LVDT #8 (198067) [],Weight,Model
0.095,0.000462145,0.001245882,-0.00019698,3.6806E-05,-0.000220816,0.001001783,-7.38662E-05,2.5,6
0.197,0.000400557,0.001122364,-0.000246284,-6.16559E-05,0.000269705,-0.001372499,0.000468133,2.5,6
0.297,0.000264923,-0.000320793,-0.000492333,-0.000110887,0.000907593,-0.000445001,0.000172668,2.5,6
0.398,-1.84529E-05,0.000592062,9.83726E-05,1.2425E-05,0.000269705,0.000333928,-0.000172668,2.5,6
0.498,-0.000338969,0.000517951,2.34779E-07,-0.000159649,-0.002697984,-0.003857853,0.000419203,2.5,6
0.6,-0.001189331,0.001060723,-0.000443029,-0.000479416,-0.001716941,-0.002077142,0.000221599,2.5,6
0.7,-0.001226237,-0.001023785,-0.00019698,-0.000946407,-0.002575412,-0.003449641,0.000518005,2.5,6
0.802,-0.001115402,0.000875799,-0.000246284,-0.001192093,-0.001496125,-0.004377139,0.000221599,2.5,6
0.903,-0.000720956,0.000542654,0.000295587,-0.001241324,-0.004120659,-0.000778928,-0.000172668,2.5,6
1.004,-0.000326628,-0.00028362,-4.90689E-05,-0.00106925,-0.002207462,-0.005192856,0.000419203,2.5,6
1.105,0.000141747,-0.000431841,-0.002018869,-0.001978851,-0.005567895,-0.003264283,-0.003724835,2.5,6
1.206,0.000412898,-0.000197275,-0.003003534,-0.002126544,-0.001864074,-0.003152502,-0.003626033,2.5,6
1.307,-1.84529E-05,-1.23518E-05,-0.003495632,-0.00278999,-0.005420762,-0.007640714,-0.00505725,2.5,6
1.408,-0.001780882,-0.008054884,-0.036533803,-0.01188553,-0.015942992,-0.024257852,-0.047384957,2.5,6
1.509,-0.0031243,-0.009880358,-0.057557837,-0.017908119,-0.026514579,-0.041802488,-0.076245485,2.5,6
1.61,-0.005736973,-0.016973097,-0.073559938,-0.02314395,-0.030880615,-0.052485339,-0.096226068,2.5,6
1.711,-0.006254594,-0.017959827,-0.09310674,-0.029191389,-0.041746467,-0.063649978,-0.117192788,2.5,6
1.812,-0.006119077,-0.015085747,-0.070605473,-0.02272619,-0.029089991,-0.050742124,-0.089467072,2.5,6
1.913,-0.004751094,-0.008794813,-0.042983665,-0.014638713,-0.020922356,-0.029154277,-0.054193825,2.5,6
2.014,-0.003001006,-0.005106692,-0.025701546,-0.009820642,-0.012828171,-0.018360353,-0.031844818,2.5,6
2.114,-0.002618902,-0.008671531,-0.036336588,-0.012967204,-0.019058048,-0.026817492,-0.046842958,2.5,6
2.216,-0.002298503,-0.006846057,-0.028015533,-0.01186068,-0.015109083,-0.01976964,-0.032880827,2.5,6
2.317,0.001041355,0.007771146,0.010979933,-0.000159649,-0.000515082,0.001854996,0.018820836,2.5,6
2.418,0.006870827,0.028851501,0.138749283,0.042490317,0.059259268,0.091023544,0.075998951,2.5,6
2.519,0.005342645,0.019884115,0.104874358,0.02965838,0.038263463,0.063241766,0.134558412,2.5,6
2.62,0.003161206,0.016886517,0.082964266,0.023021107,0.030095594,0.047997127,0.105402419,2.5,6
2.721,-0.002742196,-0.005661699,0.03229932,-0.011393689,-0.018027883,0.018953923,0.039837427,2.5,6
2.822,-0.00656277,-0.020833908,-0.108518136,-0.032534407,-0.044444451,-0.076261402,-0.146152118,2.5,6
2.923,-0.012441489,-0.040002444,-0.20004927,-0.061418455,-0.083885212,-0.135756388,-0.2696847,2.5,6
3.025,-0.024802819,-0.088392681,-0.321172013,-0.09492365,-0.129997482,-0.216320643,-0.43825875,2.5,6
3.125,-0.032813613,-0.119316574,-0.628754284,-0.183812754,-0.251778207,-0.429339508,-0.632239964,2.5,6
3.225,-0.041329805,-0.154422187,-0.808911861,-0.233591365,-0.320137263,-0.545029824,-1.08453377,2.5,6
3.326,-0.052261564,-0.191291399,-1.01058604,-0.290843238,-0.39791517,-0.679562283,-1.344869451,2.5,6
3.428,-0.071425905,-0.25922049,-1.194140877,-0.39128568,-0.539686097,-0.800593317,-1.584978014,2.5,6
3.53,-0.080767776,-0.292266064,-1.52442163,-0.439097865,-0.604317005,-1.018397532,-2.015022086,2.5,6
3.63,-0.089049839,-0.320759834,-1.671442429,-0.482731044,-0.664900704,-1.119844284,-2.207128885,2.5,6
3.732,-0.105983493,-0.383125687,-1.819350225,-0.526880444,-0.721976837,-1.217915326,-2.412358469,2.5,6
3.832,-0.115165165,-0.416282192,-2.17035919,-0.630346606,-0.863527181,-1.456899176,-2.64324128,2.5,6
3.934,-0.123619651,-0.452164791,-2.347168812,-0.682116493,-0.931297473,-1.570103784,-3.12039978,2.5,6
4.033,-0.130718495,-0.477550267,-2.485819722,-0.723217793,-0.99092469,-1.664725539,-3.304711574,2.5,6
4.135,-0.141144974,-0.516356236,-2.591137109,-0.780813814,-1.065195031,-1.738835159,-3.441810608,2.5,6
4.237,-0.146801788,-0.536413041,-2.784096273,-0.809771473,-1.107726285,-1.864577259,-3.689319439,2.5,6
4.338,-0.15137423,-0.550524292,-2.857459231,-0.830518813,-1.133799465,-1.915949388,-3.783349751,2.5,6
4.438,-0.153888409,-0.556691825,-2.888478768,-0.838704752,-1.144738767,-1.932270095,-3.823409248,2.5,6
4.54,-0.151029149,-0.542531167,-2.814081841,-0.81830156,-1.115967603,-1.886164753,-3.811273071,2.5,6
4.641,-0.146432143,-0.530122108,-2.737223016,-0.796743082,-1.08881537,-1.8319362,-3.626320006,2.5,6
4.741,-0.143449589,-0.518761538,-2.686705981,-0.782633015,-1.069364812,-1.799406567,-3.562037558,2.5,6
4.842,-0.142007677,-0.513630259,-2.661890728,-0.774200921,-1.059308308,-1.78594193,-3.530661343,2.5,6
4.943,-0.142328076,-0.514333369,-2.658345557,-0.774200921,-1.058351827,-1.780711932,-3.525974366,2.5,6
5.045,-0.142882721,-0.514493707,-2.657951597,-0.774397845,-1.055898987,-1.783531214,-3.525184891,2.5,6
5.146,-0.143511177,-0.514703334,-2.654751553,-0.774200921,-1.058719542,-1.777855862,-3.520893121,2.5,6
5.246,-0.143055261,-0.512705053,-2.650861726,-0.773070484,-1.054868822,-1.778746217,-3.51921584,2.5,6
5.348,-0.141958312,-0.512618708,-2.641309487,-0.77024322,-1.052906503,-1.768842649,-3.503922235,2.5,6
5.449,-0.140910728,-0.508757897,-2.632250286,-0.7672692,-1.046774637,-1.763315866,-3.492575534,2.5,6
5.55,-0.140836799,-0.508856594,-2.630379093,-0.766998664,-1.048540701,-1.764873723,-3.489960575,2.5,6
5.65,-0.141107951,-0.509608993,-2.637272219,-0.768055489,-1.047044342,-1.765912294,-3.49987653,2.5,6
5.751,-0.141650255,-0.510546434,-2.639389461,-0.768891478,-1.051876339,-1.770734433,-3.501751415,2.5,6
5.853,-0.142352758,-0.511286599,-2.638207581,-0.769014321,-1.051287807,-1.766839791,-3.500221866,2.5,6
5.954,-0.141921407,-0.509374663,-2.63269308,-0.76810472,-1.050257642,-1.766913722,-3.495831294,2.5,6
6.054,-0.14126815,-0.510891813,-2.630920495,-0.767539267,-1.048123629,-1.762240152,-3.490848852,2.5,6
6.155,-0.140750529,-0.508955291,-2.631216317,-0.767465655,-1.047068903,-1.762463006,-3.491045985,2.5,6
6.256,-0.14076287,-0.509448656,-2.631954464,-0.767342812,-1.046897209,-1.765838363,-3.492723266,2.5,6
6.358,-0.141034022,-0.509732393,-2.634859625,-0.767514886,-1.049031222,-1.764243364,-3.495930096,2.5,6
6.459,-0.141576326,-0.510361393,-2.635204281,-0.767859034,-1.050134836,-1.768175148,-3.496867304,2.5,6
6.561,-0.142340417,-0.510916516,-2.635302889,-0.768031108,-1.046970892,-1.76483658,-3.496966106,2.5,6
6.661,-0.141982995,-0.508979876,-2.634219616,-0.768227563,-1.050281969,-1.767952294,-3.495436557,2.5,6
6.762,-0.141342197,-0.510830172,-2.633776352,-0.768178332,-1.047142586,-1.764317295,-3.493858078,2.5,6
6.862,-0.140812234,-0.509078573,-2.633136344,-0.768055489,-1.050257642,-1.764057652,-3.493118004,2.5,6
6.964,-0.140701282,-0.5096584,-2.632988432,-0.76810472,-1.047976496,-1.767359077,-3.493709875,2.5,6
7.065,-0.140960093,-0.509621345,-2.634564272,-0.768006258,-1.050061387,-1.764354437,-3.496176631,2.5,6
7.165,-0.141490055,-0.510521848,-2.635696849,-0.768006258,-1.048049945,-1.768434791,-3.497508575,2.5,6
7.268,-0.142352758,-0.511027565,-2.636188947,-0.768350406,-1.049742559,-1.765689793,-3.49775558,2.5,6
7.368,-0.142069265,-0.509066221,-2.63584429,-0.768375256,-1.047436852,-1.768879791,-3.497459174,2.5,6
7.468,-0.141453032,-0.510830172,-2.63466288,-0.768448868,-1.050502786,-1.765355866,-3.494943488,2.5,6
7.57,-0.140886163,-0.509312904,-2.633136344,-0.768448868,-1.05067448,-1.764094794,-3.493512741,2.5,6
7.671,-0.140701282,-0.509966724,-2.633284255,-0.768203182,-1.050134836,-1.767359077,-3.493019202,2.5,6
7.772,-0.140886163,-0.509547352,-2.633825656,-0.768276794,-1.049595193,-1.763798009,-3.494943488,2.5,6
7.873,-0.141379103,-0.51081782,-2.635647545,-0.768252413,-1.048123629,-1.768397648,-3.496374235,2.5,6
7.975,-0.142352758,-0.511286599,-2.636386161,-0.768252413,-1.050772724,-1.766171936,-3.49884052,2.5,6
8.075,-0.142118629,-0.509485593,-2.636976867,-0.768743785,-1.050036825,-1.769213719,-3.498396852,2.5,6
8.175,-0.141576326,-0.511015213,-2.63623825,-0.768743785,-1.051606634,-1.766691222,-3.497903313,2.5,6
8.277,-0.141021681,-0.509806386,-2.63545033,-0.768719404,-1.047976496,-1.76520765,-3.495683562,2.5,6
8.378,-0.140639694,-0.510472441,-2.634022401,-0.768694554,-1.05106699,-1.767989436,-3.493759276,2.5,6
8.479,-0.140750529,-0.509559704,-2.634219616,-0.768473718,-1.047436852,-1.763983721,-3.494449949,2.5,6
8.58,-0.141231244,-0.511200254,-2.634613576,-0.76854733,-1.05030653,-1.767989436,-3.495683562,2.5,6
8.682,-0.142303393,-0.51134824,-2.635992201,-0.768596561,-1.050257642,-1.766171936,-3.498002115,2.5,6
8.782,-0.142155535,-0.509596641,-2.636878259,-0.768817866,-1.051263245,-1.769473362,-3.498495184,2.5,6
8.882,-0.141711843,-0.51081782,-2.637124308,-0.76896509,-1.04944806,-1.76724765,-3.498446253,2.5,6
8.984,-0.14118188,-0.510275048,-2.636730818,-0.769014321,-1.050085948,-1.765912294,-3.497410244,2.5,6
9.085,-0.14060267,-0.510891813,-2.635204281,-0.76896509,-1.048123629,-1.768990865,-3.496077829,2.5,6
9.186,-0.140651917,-0.509547352,-2.634761018,-0.76898994,-1.050257642,-1.764576937,-3.495338225,2.5,6
9.287,-0.141083269,-0.511496226,-2.63466288,-0.768817866,-1.051704644,-1.768471579,-3.495683562,2.5,6
9.389,-0.142229464,-0.51134824,-2.635794987,-0.768842247,-1.047853924,-1.766320506,-3.496719571,2.5,6
9.489,-0.142192558,-0.510003779,-2.636976867,-0.768891478,-1.051091551,-1.769361935,-3.498100917,2.5,6
9.59,-0.141835136,-0.510657482,-2.637370827,-0.768842247,-1.049006661,-1.767544435,-3.498544585,2.5,6
9.691,-0.141329856,-0.510571137,-2.636828955,-0.76898994,-1.051361256,-1.765838363,-3.498593986,2.5,6
9.792,-0.140627353,-0.511138495,-2.636582907,-0.76896509,-1.049963142,-1.76951015,-3.49721264,2.5,6
9.894,-0.140541082,-0.509399248,-2.634908929,-0.76896509,-1.052023471,-1.76483658,-3.495880695,2.5,6
9.995,-0.140910728,-0.511508578,-2.635499634,-0.769063552,-1.048442456,-1.768694433,-3.495732492,2.5,6
10.097,-0.142093947,-0.511101558,-2.63545033,-0.769038702,-1.05020852,-1.766802649,-3.496768502,2.5,6
10.197,-0.142217123,-0.510423151,-2.63742013,-0.76896509,-1.048319884,-1.769213719,-3.497557976,2.5,6
10.297,-0.141995336,-0.510361393,-2.636976867,-0.769063552,-1.050478224,-1.768100863,-3.499284659,2.5,6
10.399,-0.141613231,-0.511015213,-2.637124308,-0.76898994,-1.051557511,-1.765726936,-3.49879159,2.5,6
10.5,-0.140676599,-0.511533281,-2.637616875,-0.769260007,-1.051361256,-1.769399077,-3.497952714,2.5,6
10.601,-0.140467153,-0.509559704,-2.636188947,-0.769210776,-1.05020852,-1.76520765,-3.496768502,2.5,6
10.702,-0.140701282,-0.511459288,-2.636139643,-0.769137164,-1.049791448,-1.768916934,-3.496324834,2.5,6
10.803,-0.141909065,-0.510891813,-2.635647545,-0.769186395,-1.05229341,-1.767804078,-3.497163239,2.5,6
10.904,-0.142130853,-0.510965806,-2.636878259,-0.769186395,-1.050110275,-1.768916934,-3.497262041,2.5,6
