Time [s],LVDT #1 (195620) [],LVDT # 2 (195619) [],LVDT #7 (198068) [],LVDT #3 (196487) [],LVDT #4 (196488) [],LVDT #5 (194513) [],LVDT #8 (198067) [],Weight,Model
0.028,0.000924408,0.000345497,0.001354208,0.000577643,0.002501728,0.001947675,0.003675434,2.5,10
0.129,0.000998337,-0.000838626,0.002043521,0.000602024,0.002207462,0.001465178,0.002836087,2.5,10
0.229,0.00110929,-0.001307523,0.001600257,0.000479181,0.000539644,0.003987321,0.003280226,2.5,10
0.332,0.001035243,0.000283855,0.001354208,0.000626874,0.002992484,0.002503749,0.003625562,2.5,10
0.432,0.00102302,-0.001036019,0.001748168,0.0004548,0.001667819,0.000834819,0.002984761,2.5,10
0.533,0.001096949,-0.001097661,0.001304904,0.000602024,0.002403718,0.003765174,0.003379028,2.5,10
0.635,0.001170878,0.000221979,0.001304904,0.000405569,0.000662215,0.00294875,0.003231295,2.5,10
0.736,0.000862703,-0.002466943,0.000418377,-0.000307108,0.001250981,-0.000426607,0.003083563,2.5,10
0.836,0.000838138,-0.001985812,-0.000467681,-0.000479181,0.001398114,0.00246696,0.003330097,2.5,10
0.938,0.000899726,-0.000727813,-0.000270936,-0.000430419,0.002894239,0.002652318,0.003132493,2.5,10
1.04,0.000788774,-0.002528584,0.000172328,-0.000405569,0.000318827,-0.000352322,0.003280226,2.5,10
1.14,0.000702503,-0.001739247,-0.000369073,-0.000381188,0.00215834,0.001799105,0.003576632,2.5,10
1.24,0.000764209,-0.000678406,0.000172328,-0.000479181,0.000122572,0.003023034,0.002885959,2.5,10
1.342,0.000764209,-0.00168984,-0.000221632,-0.000504031,0.00367926,0.000166964,0.003428899,2.5,10
1.443,0.000431351,-0.001406102,-0.000369073,-0.000504031,0.001201859,-0.001354104,0.003675434,2.5,10
1.544,0.000493057,-0.000740048,-2.44171E-05,-0.000479181,0.003777271,0.003208392,0.002934889,2.5,10
1.645,0.000529963,-0.002010515,-7.37208E-05,-0.000381188,-0.000441633,0.000909103,0.003625562,2.5,10
1.746,0.000160317,-0.001406102,-0.000615592,-0.000553262,0.002673423,-0.001390893,0.00352676,2.5,10
1.847,3.70233E-05,-7.3993E-05,0.012727866,0.003699356,0.007211153,0.014039105,0.009249747,2.5,10
1.948,9.86114E-05,-0.001319757,0.013663228,0.004043504,0.012631916,0.0136316,0.026861905,2.5,10
2.049,1.23411E-05,-0.001048489,0.0147465,0.004289659,0.010105392,0.011368392,0.027750182,2.5,10
2.151,-0.000258811,0.000320793,0.016125125,0.003429289,0.010645036,0.011257319,0.028638459,2.5,10
2.252,-0.001035243,-0.004687203,-0.01656792,-0.006158092,-0.01074328,-0.011739816,-0.021337463,2.5,10
2.353,-0.004633912,-0.012137555,-0.07240271,-0.027175498,-0.046308525,-0.062295874,-0.105303147,2.5,10
2.455,-0.020076408,-0.044578716,-0.159748665,-0.060435007,-0.105690365,-0.135997636,-0.235792328,2.5,10
2.557,-0.031476424,-0.07053155,-0.467823504,-0.172873866,-0.309786728,-0.381175418,-0.434903717,2.5,10
2.656,-0.046549156,-0.102393001,-0.688552387,-0.255838374,-0.459921544,-0.562815355,-1.017489102,2.5,10
2.758,-0.065947743,-0.14301221,-0.962949046,-0.363237387,-0.648982039,-0.792414569,-1.426319918,2.5,10
2.859,-0.104054636,-0.226483122,-1.241924844,-0.572455902,-1.011552546,-1.237221924,-1.838505298,2.5,10
2.96,-0.120372175,-0.260823985,-1.728631193,-0.662401831,-1.171081652,-1.435664004,-2.589911267,2.5,10
3.061,-0.133177198,-0.288553004,-1.91691261,-0.733738921,-1.296124565,-1.59382431,-2.873631022,2.5,10
