Time [s],LVDT #1 (195620) [],LVDT # 2 (195619) [],LVDT #7 (198068) [],LVDT #3 (196487) [],LVDT #4 (196488) [],LVDT #5 (194513) [],LVDT #8 (198067) [],Weight,Model
5.408,-0.127347784,-0.480862188,-2.329837155,-0.714491251,-1.295658488,-1.564595749,-3.104168968,2.5,1
5.509,-0.127458737,-0.478715921,-2.330280419,-0.714540013,-1.292715126,-1.565486104,-3.10589565,2.5,1
5.61,-0.1278285,-0.479147645,-2.330181811,-0.714835399,-1.294334057,-1.563483247,-3.107178194,2.5,1
5.711,-0.127865406,-0.480442816,-2.330625075,-0.714884161,-1.295339661,-1.562370391,-3.106734055,2.5,1
5.811,-0.127754454,-0.479826051,-2.330526467,-0.714982623,-1.295658488,-1.561851105,-3.10481024,2.5,1
5.912,-0.127520325,-0.480689499,-2.329591106,-0.715007473,-1.293279331,-1.562222175,-3.103181889,2.5,1
6.014,-0.127372467,-0.479135293,-2.328507833,-0.715007473,-1.294702006,-1.564966819,-3.103379493,2.5,1
6.115,-0.127372467,-0.48087454,-2.329000401,-0.715007473,-1.295805621,-1.565560389,-3.10540211,2.5,1
6.216,-0.127507984,-0.479147645,-2.330526467,-0.715007473,-1.294775456,-1.565189319,-3.106536922,2.5,1
6.317,-0.127853065,-0.479332686,-2.331855789,-0.71527754,-1.292102033,-1.56455896,-3.106684654,2.5,1
6.418,-0.127902429,-0.480899244,-2.331117642,-0.715253159,-1.295265977,-1.562296106,-3.107375327,2.5,1
6.518,-0.127803818,-0.479863107,-2.330575771,-0.715376002,-1.296983152,-1.562778249,-3.107671262,2.5,1
6.621,-0.127483419,-0.480849837,-2.330379026,-0.715449614,-1.294824578,-1.56396539,-3.106536922,2.5,1
6.721,-0.127384808,-0.479591721,-2.331019035,-0.715425233,-1.292715126,-1.566153606,-3.104908571,2.5,1
6.822,-0.127446396,-0.481318616,-2.330526467,-0.715425233,-1.295290538,-1.566153606,-3.105007373,2.5,1
6.923,-0.127606595,-0.479381976,-2.329935762,-0.715425233,-1.297350868,-1.564966819,-3.106339318,2.5,1
7.024,-0.127902429,-0.479493024,-2.330575771,-0.715572457,-1.293818975,-1.563483247,-3.108164802,2.5,1
7.125,-0.127902429,-0.481207568,-2.33279162,-0.715621688,-1.293818975,-1.563001104,-3.107868866,2.5,1
7.225,-0.127791477,-0.480245423,-2.332693013,-0.71572015,-1.295633927,-1.564039675,-3.107474129,2.5,1
7.328,-0.127483419,-0.481010292,-2.331806955,-0.71572015,-1.297939634,-1.565523247,-3.107178194,2.5,1
7.429,-0.127434055,-0.480233189,-2.330625075,-0.715793762,-1.293328453,-1.566747176,-3.106931659,2.5,1
7.53,-0.127532666,-0.481380257,-2.331265084,-0.715818611,-1.294579201,-1.565857174,-3.106586323,2.5,1
