Time [s],LVDT #1 (195620) [],LVDT # 2 (195619) [],LVDT #7 (198068) [],LVDT #3 (196487) [],LVDT #4 (196488) [],LVDT #5 (194513) [],LVDT #8 (198067) [],weight,model
4.827,-0.231562737,-0.821993385,-4.488257103,-1.289786139,-2.380929567,-2.973905657,-4.850246428,5,2
4.928,-0.232203653,-0.823683343,-4.488650829,-1.289859986,-2.380218347,-2.974202442,-4.850394631,5,2
5.029,-0.231809207,-0.822696495,-4.489044789,-1.289810755,-2.377250424,-2.973312086,-4.850641165,5,2
5.13,-0.231981748,-0.823880618,-4.48879874,-1.290081056,-2.380856001,-2.971902799,-4.850542833,5,2
5.231,-0.232043336,-0.822178427,-4.488995485,-1.290081056,-2.377495685,-2.970789943,-4.852466649,5,2
5.333,-0.231932501,-0.824312342,-4.48860176,-1.290056441,-2.381322078,-2.971531729,-4.853946797,5,2
5.435,-0.231809207,-0.823054226,-4.488158496,-1.290130287,-2.381003134,-2.973126728,-4.855130539,5,2
5.535,-0.232154288,-0.823856032,-4.488306172,-1.290105672,-2.381052256,-2.974833155,-4.855377544,5,2
5.636,-0.232018771,-0.822314061,-4.488650829,-1.290105672,-2.381174828,-2.974944228,-4.857301359,5,2
5.738,-0.23192016,-0.824139653,-4.488946416,-1.290105672,-2.377152297,-2.973497798,-4.857696097,5,2
5.839,-0.231722937,-0.823670991,-4.48879874,-1.290081056,-2.381395645,-2.971161013,-4.85789323,5,2
5.94,-0.232302146,-0.823547591,-4.488897112,-1.290081056,-2.377127736,-2.971457445,-4.857843829,5,2
6.041,-0.231735278,-0.822363468,-4.48879874,-1.290105672,-2.380708868,-2.972904228,-4.857794899,5,2
6.143,-0.231858572,-0.822573095,-4.48860176,-1.29025313,-2.381616344,-2.974276727,-4.857547894,5,2
6.243,-0.232215876,-0.823818977,-4.489291072,-1.290400589,-2.380439046,-2.975537798,-4.857646696,5,2
6.344,-0.231784525,-0.823559943,-4.489684798,-1.290621893,-2.382229554,-2.974462085,-4.857745498,5,2
6.445,-0.232450122,-0.823177508,-4.490275738,-1.290892429,-2.378158017,-2.973126728,-4.857843829,5,2
6.546,-0.232745839,-0.822708847,-4.490275738,-1.291162731,-2.383210713,-2.971902799,-4.857992032,5,2
6.647,-0.231932501,-0.825360831,-4.493968584,-1.292072332,-2.380267352,-2.9746103,-4.857498493,5,2
6.748,-0.233288143,-0.824781121,-4.495297906,-1.292711397,-2.383676673,-2.977058513,-4.857498493,5,2
6.85,-0.233288143,-0.826248982,-4.495544189,-1.293006314,-2.385908814,-2.978801727,-4.857449562,5,2
6.95,-0.232548734,-0.824485032,-4.495987218,-1.293030929,-2.384020062,-2.978690654,-4.85735076,5,2
7.051,-0.233300484,-0.826199693,-4.496085591,-1.293153772,-2.386227641,-2.977540656,-4.857646696,5,2
7.152,-0.232585639,-0.824916755,-4.496528855,-1.293203003,-2.382401248,-2.975908514,-4.857794899,5,2
