"Time [s]","LVDT #1 (195620) (AVG) []","LVDT #1 (195620) (RMS) []","LVDT #1 (195620) (MIN) []","LVDT #1 (195620) (MAX) []","LVDT #1 (195620) []","LVDT #6 (194512) (AVG) []","LVDT #6 (194512) (RMS) []","LVDT #6 (194512) (MIN) []","LVDT #6 (194512) (MAX) []","LVDT #6 (194512) []","LVDT # 2 (195619) (AVG) []","LVDT # 2 (195619) (RMS) []","LVDT # 2 (195619) (MIN) []","LVDT # 2 (195619) (MAX) []","LVDT # 2 (195619) []","LVDT #7 (198068) (AVG) []","LVDT #7 (198068) (RMS) []","LVDT #7 (198068) (MIN) []","LVDT #7 (198068) (MAX) []","LVDT #7 (198068) []","LVDT #3 (196487) (AVG) []","LVDT #3 (196487) (RMS) []","LVDT #3 (196487) (MIN) []","LVDT #3 (196487) (MAX) []","LVDT #3 (196487) []","LVDT #4 (196488) (AVG) []","LVDT #4 (196488) (RMS) []","LVDT #4 (196488) (MIN) []","LVDT #4 (196488) (MAX) []","LVDT #4 (196488) []","LVDT #5 (194513) (AVG) []","LVDT #5 (194513) (RMS) []","LVDT #5 (194513) (MIN) []","LVDT #5 (194513) (MAX) []","LVDT #5 (194513) []","LVDT #8 (198067) (AVG) []","LVDT #8 (198067) (RMS) []","LVDT #8 (198067) (MIN) []","LVDT #8 (198067) (MAX) []","LVDT #8 (198067) []","channel 1 (AVG) [mA]","channel 1 (RMS) [mA]","channel 1 (MIN) [mA]","channel 1 (MAX) [mA]","channel 1 [mA]","channel 2 (AVG) [mA]","channel 2 (RMS) [mA]","channel 2 (MIN) [mA]","channel 2 (MAX) [mA]","channel 2 [mA]","channel 3 (AVG) [mA]","channel 3 (RMS) [mA]","channel 3 (MIN) [mA]","channel 3 (MAX) [mA]","channel 3 [mA]","channel 4 (AVG) [mA]","channel 4 (RMS) [mA]","channel 4 (MIN) [mA]","channel 4 (MAX) [mA]","channel 4 [mA]","channel 5 (AVG) [mA]","channel 5 (RMS) [mA]","channel 5 (MIN) [mA]","channel 5 (MAX) [mA]","channel 5 [mA]","channel 6 (AVG) [mA]","channel 6 (RMS) [mA]","channel 6 (MIN) [mA]","channel 6 (MAX) [mA]","channel 6 [mA]","channel 7 (AVG) [mA]","channel 7 (RMS) [mA]","channel 7 (MIN) [mA]","channel 7 (MAX) [mA]","channel 7 [mA]","channel 8 (AVG) [mA]","channel 8 (RMS) [mA]","channel 8 (MIN) [mA]","channel 8 (MAX) [mA]","channel 8 [mA]"
1.068,,,,,0.000049364458,,,,,0.000000000000,,,,,-0.001745363986,,,,,0.000763033365,,,,,-0.001155755747,,,,,-0.001692380103,,,,,0.003227494237,,,,,0.000616336139,,,,,0.000400543213,,,,,-0.014149665833,,,,,-0.004701614380,,,,,-0.006899833679,,,,,0.008701324463,,,,,0.000000000000,,,,,0.001549720764,,,,,0.001249313354
1.169,,,,,-0.000899608481,,,,,0.000000000000,,,,,-0.002386832599,,,,,0.001747698575,,,,,-0.001180136802,,,,,-0.002992249658,,,,,0.000408212226,,,,,-0.000863811566,,,,,-0.007299423218,,,,,-0.019350051880,,,,,-0.004800796509,,,,,-0.012199401855,,,,,0.001100540161,,,,,0.000000000000,,,,,0.003549575806,,,,,-0.001750946045
1.271,,,,,-0.000801114634,,,,,0.000000000000,,,,,-0.002584225655,,,,,0.001255600749,,,,,-0.001180136802,,,,,-0.003139616550,,,,,-0.001112855860,,,,,-0.001307009004,,,,,-0.006500244141,,,,,-0.020950317383,,,,,-0.004800796509,,,,,-0.012800216675,,,,,-0.003000259399,,,,,0.000000000000,,,,,0.002550125122,,,,,-0.002649307251
1.371,,,,,-0.000049129389,,,,,0.000000000000,,,,,0.001708426310,,,,,0.010856673496,,,,,0.002777564725,,,,,0.004807435504,,,,,0.009903921925,,,,,-0.001652345436,,,,,-0.000398635864,,,,,0.013850212097,,,,,0.011299133301,,,,,0.019599914551,,,,,0.026700973511,,,,,0.000000000000,,,,,0.022049903870,,,,,-0.003349304199
1.472,,,,,-0.000813338214,,,,,0.000000000000,,,,,0.000437840854,,,,,0.010561320889,,,,,0.002753183671,,,,,0.003777270753,,,,,0.005156067076,,,,,0.013739120566,,,,,-0.006599426270,,,,,0.003549575806,,,,,0.011199951172,,,,,0.015399932861,,,,,0.013900756836,,,,,0.000000000000,,,,,0.021450042725,,,,,0.027849197388
1.573,,,,,-0.000160081885,,,,,0.000000000000,,,,,0.001079309468,,,,,0.009034784600,,,,,0.002162880837,,,,,0.000613326970,,,,,0.003894641774,,,,,0.009546152876,,,,,-0.001298904419,,,,,0.008749961853,,,,,0.008798599243,,,,,0.002500534058,,,,,0.010499954224,,,,,0.000000000000,,,,,0.018349647522,,,,,0.019350051880
1.674,,,,,-0.000073811618,,,,,0.000000000000,,,,,-0.009442399165,,,,,-0.004062154855,,,,,-0.022615772199,,,,,-0.036497399127,,,,,-0.001520360613,,,,,-0.009891489308,,,,,-0.000598907471,,,,,-0.076549530029,,,,,-0.092000961304,,,,,-0.148799896240,,,,,-0.004098892212,,,,,0.000000000000,,,,,-0.008250236511,,,,,-0.020050048828
1.733,-0.000452225450,0.000617819268,-0.000948972939,0.000049364458,,0.000000000000,0.000000000000,0.000000000000,0.000000000000,,-0.001313675490,0.003340527765,-0.009442399165,0.001708426310,,0.003155999909,0.005776951329,-0.004062154855,0.010856673496,,-0.001952031603,0.007324000719,-0.022615772199,0.002777564725,,-0.003527051127,0.011803930606,-0.036497399127,0.004807435504,,0.001780640124,0.004040939178,-0.002596427850,0.009903921925,,0.001075341893,0.006194543002,-0.009891489308,0.013739120566,,-0.003669357393,0.005012985319,-0.007699966431,0.000400543213,,-0.010649967007,0.027081659064,-0.076549530029,0.013850212097,,-0.007940864190,0.029794035479,-0.092000961304,0.011299133301,,-0.014379787259,0.048124626279,-0.148799896240,0.019599914551,,0.004800605588,0.010894372128,-0.006999969482,0.026700973511,,0.000000000000,0.000000000000,0.000000000000,0.000000000000,,0.006409836002,0.011732988060,-0.008250236511,0.022049903870,,0.002179718111,0.012556338683,-0.020050048828,0.027849197388,
1.775,,,,,-0.000727067947,,,,,0.000000000000,,,,,-0.017608213442,,,,,-0.138872541975,,,,,-0.048353257081,,,,,-0.070909907603,,,,,-0.110793538193,,,,,-0.163320608191,,,,,-0.005899429321,,,,,-0.142749786377,,,,,-0.196701049805,,,,,-0.289099693298,,,,,-0.298699378967,,,,,0.000000000000,,,,,-0.282050132751,,,,,-0.331050872803
1.876,,,,,-0.000221669924,,,,,0.000000000000,,,,,-0.029832231318,,,,,-0.211250834838,,,,,-0.074041510988,,,,,-0.105322416080,,,,,-0.169881019819,,,,,-0.250888329512,,,,,-0.001798629761,,,,,-0.241849899292,,,,,-0.301200866699,,,,,-0.429399490356,,,,,-0.457999229431,,,,,0.000000000000,,,,,-0.429050445557,,,,,-0.508550643921
1.977,,,,,-0.000221669924,,,,,0.000000000000,,,,,-0.054267915298,,,,,-0.285844507034,,,,,-0.102138800607,,,,,-0.143733011732,,,,,-0.229450998391,,,,,-0.341021138338,,,,,-0.001798629761,,,,,-0.439949989319,,,,,-0.415500640869,,,,,-0.585999488831,,,,,-0.618599891663,,,,,0.000000000000,,,,,-0.580550193787,,,,,-0.691249847412
