"Time [s]","LVDT # 2 (195619) []","LVDT #1 (195620) []","LVDT #3 (196487) []","LVDT #4 (196488) []","LVDT #5 (194513) []","LVDT #6 (194512) []","LVDT #7 (198068) []","LVDT #8 (198067) []","channel 1 [mA]","channel 2 [mA]","channel 3 [mA]","channel 4 [mA]","channel 5 [mA]","channel 6 [mA]","channel 7 [mA]","channel 8 [mA]"
1.089,-0.060318283019,-0.032949189056,-0.090658840528,-0.137073899532,-0.173609051577,-0.224310232024,-0.281610024028,-0.387987128372,-0.267349720001,-0.489000320435,-0.368800163269,-0.558850288391,-0.468050003052,-0.609899520874,-0.571949958801,-0.786449909210
1.190,-0.060305931248,-0.032641131331,-0.091469979450,-0.134571937185,-0.171939767787,-0.226774562935,-0.281068622508,-0.388579234503,-0.264850139618,-0.488900184631,-0.372099876404,-0.548649787903,-0.463549613953,-0.616600036621,-0.570850372314,-0.787650108337
1.291,-0.060379924235,-0.032690378254,-0.090953757512,-0.134571937185,-0.171902979163,-0.223795339087,-0.281610024028,-0.388332700047,-0.265249729156,-0.489500045776,-0.369999885559,-0.548649787903,-0.463450431824,-0.608499526978,-0.571949958801,-0.787150382996
1.392,-0.060293579478,-0.032838354094,-0.091273289983,-0.135921162953,-0.173683336298,-0.227105665751,-0.281216064032,-0.388233898071,-0.266450405121,-0.488800048828,-0.371299743652,-0.554150581360,-0.468250274658,-0.617500305176,-0.571149826050,-0.786950111389
1.493,-0.060342868924,-0.033121729591,-0.090437535574,-0.135847713423,-0.172051194867,-0.227620558688,-0.281314671421,-0.388480667769,-0.268749713898,-0.489199638367,-0.367899894714,-0.553851127625,-0.463850021362,-0.618900299072,-0.571350097656,-0.787450313568
1.594,-0.060355220694,-0.032530178835,-0.090806299020,-0.137172144127,-0.173386551152,-0.223243968721,-0.281363975115,-0.388233898071,-0.263949871063,-0.489299774170,-0.369400024414,-0.559250831604,-0.467450141907,-0.607000350952,-0.571450233459,-0.786950111389
1.695,-0.060293579478,-0.032678154674,-0.090634225041,-0.134449365357,-0.173275124072,-0.227289455873,-0.281363975115,-0.388480667769,-0.265150547028,-0.488800048828,-0.368700027466,-0.548150062561,-0.467149734497,-0.618000030518,-0.571450233459,-0.787450313568
1.796,-0.060318283019,-0.032739742713,-0.091494594938,-0.137073899532,-0.172385122373,-0.223537892618,-0.281216064032,-0.388233898071,-0.265650272369,-0.489000320435,-0.372200012207,-0.558850288391,-0.464750289917,-0.607799530029,-0.571149826050,-0.786950111389
1.897,-0.060268875937,-0.033146411820,-0.090535763091,-0.136092857078,-0.173052623647,-0.227804348810,-0.281265367727,-0.388184497082,-0.268949985504,-0.488599777222,-0.368299484253,-0.554850578308,-0.466549873352,-0.619400024414,-0.571249961853,-0.786849975586
1.997,-0.060330517154,-0.032764424942,-0.091322520958,-0.136853083109,-0.172904407943,-0.224126441902,-0.281363975115,-0.388233898071,-0.265850543976,-0.489099502563,-0.371500015259,-0.557950019836,-0.466150283813,-0.609399795532,-0.571450233459,-0.786950111389
